Review,Created Time,Sender ID,Message,Message ID,Type,Channel URL,File URL,Sender Type,Case Number,Category
+,2025-06-15T13:14:48.058-07:00,5RIG13US54SnRrw7BrhJrb4fiO73,Hi I am having an issue with some of my shop items,4560854614,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,user,CASE_0001,Order_Order_Status
+,2025-06-15T13:15:11.826-07:00,5RIG13US54SnRrw7BrhJrb4fiO73,They have been under pending status for more than 48 hrs,4560855071,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,user,CASE_0001,Order_Order_Status
+,2025-06-15T13:20:58.114-07:00,psops000_U9_tKva,"Hi there! Thank you so much for reaching out to Palmstreet Support 😊 We just approved the 2 items that were on pending status, if you need help with anything else please let us know anytime!",4560862346,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,customer_service,CASE_0001,Order_Order_Status
+,2025-06-15T13:38:28.993-07:00,5RIG13US54SnRrw7BrhJrb4fiO73,Thank you!,4560884251,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,user,CASE_0001,Order_Order_Status
+,2025-06-15T13:41:42.246-07:00,psops000_U9_tKva,"No problem, happy to help! 🌴💚",4560887958,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,customer_service,CASE_0001,Order_Order_Status
-,2025-06-17T10:41:52-07:00,5RIG13US54SnRrw7BrhJrb4fiO73,"Hello, I am trying to ship out my orders, but it wants me to pay for a label to do that. I already have a label that I created through USPS. How can I submit that my order is being processed to my customer without paying for another label?",4566777877,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,user,CASE_0002,Shipment_Update_Shipping_Label
-,2025-06-17T10:42:46.817-07:00,psops000_U9_tKva,"Hello, thank you for reaching out to Palmstreet support.",4566782178,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,customer_service,CASE_0002,Shipment_Update_Shipping_Label
-,2025-06-17T10:43:18.998-07:00,psops000_U9_tKva,May I please have the order # and the tracking #?,4566784588,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,customer_service,CASE_0002,Shipment_Update_Shipping_Label
-,2025-06-17T10:44:07.607-07:00,5RIG13US54SnRrw7BrhJrb4fiO73,The order number through Palmstreet? Or the one on the USPS label?,4566788449,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,user,CASE_0002,Shipment_Update_Shipping_Label
-,2025-06-17T11:39:36.984-07:00,5RIG13US54SnRrw7BrhJrb4fiO73,Hello? Are you still there?,4567053146,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,user,CASE_0002,Shipment_Update_Shipping_Label
-,2025-06-17T11:45:27.073-07:00,5RIG13US54SnRrw7BrhJrb4fiO73,"Hello, I need help with processing my orders to my customer. I already have a shipping label and do not have an option to buypass purchasing one from Palmstreet.",4567081760,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,user,CASE_0002,Shipment_Update_Shipping_Label
-,2025-06-17T17:57:33.528-07:00,psops000_U9_tKva,"We’ll need both the order number and the USPS tracking number associated with the shipment. Once we have that information, we’ll be happy to take a closer look and help resolve the issue.",4568314500,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,customer_service,CASE_0002,Shipment_Update_Shipping_Label
-,2025-06-17T18:20:37.67-07:00,5RIG13US54SnRrw7BrhJrb4fiO73,Oh I finally figured it out,4568351975,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,user,CASE_0002,Shipment_Update_Shipping_Label
-,2025-06-17T18:20:59.423-07:00,5RIG13US54SnRrw7BrhJrb4fiO73,"I didn't see the ""add tracking number"" before.",4568352553,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,user,CASE_0002,Shipment_Update_Shipping_Label
-,2025-06-17T18:22:39.295-07:00,psops000_U9_tKva,"Thank you for the update! If you ever have any other questions, feel free to reach out — we’re always happy to help!",4568355165,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,customer_service,CASE_0002,Shipment_Update_Shipping_Label
+,2025-06-26T10:31:37.46-07:00,5RIG13US54SnRrw7BrhJrb4fiO73,"Hello, I just completed the stripe verification to get access to my funds and the app will not allow me to access them.",4594615008,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,user,CASE_0003,Payment_Withdrawal_Status
+,2025-06-26T10:31:56.042-07:00,5RIG13US54SnRrw7BrhJrb4fiO73,I had to complete it in a separate browser on my phone,4594616392,MESG,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,,user,CASE_0003,Payment_Withdrawal_Status
+,2025-06-26T10:32:26.729-07:00,5RIG13US54SnRrw7BrhJrb4fiO73,,4594618784,FILE,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,https://ogcdn.palmstreet.app/chat_source/images/2025-6-26/mpA6Lwu.jpg,user,CASE_0003,Payment_Withdrawal_Status
+,2025-06-26T10:32:52.078-07:00,5RIG13US54SnRrw7BrhJrb4fiO73,,4594620667,FILE,sendbird_group_channel_215482988_c05f4430399a29e30820acdfef8a267d81a3400b,https://ogcdn.palmstreet.app/chat_source/images/2025-6-26/X1tLwXU.jpg,user,CASE_0003,Payment_Withdrawal_Status
